datatype	parent	condition	description	SQL type	HTML type
text			any text	TEXT	textarea
empty	text	equals('')	the empty string	NULL	
line	text	exclude(/\\\\\\\n/)	one line of text		text
label	line	match(/[^\s]+.+[^\s]/)	text that does not begin or end with whitespace		
non-space	label	exclude(/\s/)	non-space characters		
word	label	exclude(/\W/)	a single word: letters, numbers, underscore		
natural number	non-space	match(/\d+/)	An integer greater than zero	INTEGER	
positive decimal	non-space	match(/\d+.\d+/)	A number with decimal places, greater than zero	REAL	 
negative decimal	non-space	match(/-\d+.\d+/)	A number with decimal places, less than than zero	REAL	
date	non-space	match(/\d\d\d\d-\d\d-\d\d/)	A date in YYY-MM-DD format		
table_type	word	in('table', 'column', 'datatype')	a VALVE table type		search
sql_type	word	in('NULL', 'TEXT', 'INTEGER', 'REAL')	a SQL type		search
html_type	word	in('text', 'textarea', 'search', 'radio', 'number', 'select')	an HTML form type		search
