studyName	Sample Number	Species	Region	Island	Stage	Individual ID	Clutch Completion	Date Egg	Culmen Length (mm)	Culmen Depth (mm)	Flipper Length (mm)	Body Mass (g)	Sex	Delta 15 N (o/oo)	Delta 13 C (o/oo)	Comments
FAKE123	1	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N1A2	Yes	2008-02-10	44.1	18.7	175	3242	FEMALE	9.83264	-25.93464	
FAKE123	2	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N2A1	Yes	2007-05-06	 34.8	17.3	164	3509	FEMALE	9.49839	-26.6378	
FAKE123	3	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N2A2	Yes	2009-11-13	48.0	21.7	195	3137	MALE	8.12827	-23.4376	
FAKE123	4	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N3A1	Yes	2009-06-03	38.3	22.8	174	2992	FEMALE	7.99813	-25.7258	
FAKE123	5	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N3A2	Yes	2007-06-14	31.5	16.2	178	4503	MALE	7.23715	-23.99129	
FAKE123	6	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N4A1	Yes	2009-02-13	32.3	19.7	174	1149	MALE	8.02021	-26.03022	
FAKE123	7	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N4A2	No	2007-09-14	45.8	16.2	193	1286	MALE	7.37733	-23.60825	
FAKE123	8	Adelie Penguin (Pygoscelis adeliae)	Anvers	Dream	Adult, 1 Egg Stage	N5A1	Yes	2008-01-20	32.5	20.0	185	2065	FEMALE	9.46528	-24.01278	
FAKE123	9	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	Adult, 1 Egg Stage	N5A2	Yes	2008-09-09	33.0	22.6	216	3726	MALE	7.06922	-24.52733	
FAKE123	10	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	Adult, 1 Egg Stage	N6A1	Yes	2009-05-05	44.3	15.1	218	4037	MALE	8.76117	-23.12543	
